Row,Activity,Sex,Age,Type,Species,Fatal
1547,Fishing,M,24,Provoked,unknown,N
614,Spearfishing,M,26,Unprovoked,tiger shark,N
1399,Other,M,45,Unprovoked,white shark,N
301,Other,M,30,Unprovoked,tiger shark,N
1473,Spearfishing,M,19,Unprovoked,grey nurse,N
1124,Surfing,M,21,Unprovoked,unknown,N
1403,Other,M,42,Unprovoked,raggedoth shark,N
66,Scuba diving,M,37,Unprovoked,Other,N
146,Surfing,M,25,Unprovoked,blacktip shark,N
700,Wading,M,11,Unprovoked,bull shark,N
1800,Other,M,17,Unprovoked,unknown,Y
376,Spearfishing,M,35,Unprovoked,unknown,N
685,Swimming,F,77,Unprovoked,white shark,Y
1608,Spearfishing,M,24,Unprovoked,grey nurse,N
1499,Spearfishing,M,40,Unprovoked,Other,N
1758,Swimming,M,17,Unprovoked,Other,Y
1520,Spearfishing,M,21,Unprovoked,unknown,N
353,Surfing,M,14,Unprovoked,wobbegong shark,N
1580,Spearfishing,M,19,Provoked,bronze whaler,N
103,Surfing,M,24,Unprovoked,bull shark,N
1291,Other,M,36,Unprovoked,white shark,N
1176,Other,M,46,Provoked,Other,N
1372,Surfing,M,20,Unprovoked,bronze whaler,N
1238,Spearfishing,M,29,Unprovoked,raggedoth shark,N
348,Swimming,M,25,Unprovoked,unknown,Y
1213,Surfing,M,12,Unprovoked,wobbegong shark,N
586,Spearfishing,M,30,Unprovoked,tiger shark,N
437,Standing,M,37,Unprovoked,white shark,Y
1240,Surfing,M,22,Unprovoked,blacktip shark,N
898,Surfing,M,26,Unprovoked,unknown,N
63,Swimming,F,17,Unprovoked,bull shark,N
1677,Other,F,28,Unprovoked,unknown,Y
1482,Swimming,M,33,Unprovoked,white shark,Y
110,Swimming,M,41,Unprovoked,tiger shark,N
8,Surfing,M,60,Unprovoked,unknown,N
907,Swimming,M,12,Unprovoked,Other,N
1769,Swimming,M,30,Unprovoked,unknown,Y
641,Standing,M,55,Unprovoked,unknown,N
1843,Surfing,M,14,Unprovoked,unknown,Y
1480,Swimming,F,13,Unprovoked,Other,Y
900,Swimming,F,13,Unprovoked,Other,N
