Row,Activity,Sex,Age,Type,Species,Fatal
285,Spearfishing,M,68,Unprovoked,tiger shark,Y
286,Spearfishing,M,28,Unprovoked,bronze whaler,N
287,Swimming,M,46,Unprovoked,white shark,Y
288,Surfing,M,16,Unprovoked,blacktip shark,N
289,Scuba diving,M,48,Unprovoked,Other,N
290,Surfing,M,43,Unprovoked,tiger shark,N
291,Surfing,M,23,Unprovoked,unknown,N
292,boarding,M,29,Unprovoked,bull shark,N
293,Swimming,M,20,Unprovoked,tiger shark,Y
294,Surfing,M,32,Unprovoked,tiger shark,N
295,Surfing,M,60,Unprovoked,unknown,N
296,Spearfishing,M,31,Unprovoked,tiger shark,N
297,Scuba diving,F,25,Unprovoked,Other,N
298,Snorkeling,M,61,Unprovoked,tiger shark,N
299,Swimming,M,32,Unprovoked,unknown,Y
300,Surfing,M,14,Unprovoked,unknown,N
301,Other,M,30,Unprovoked,tiger shark,N
302,Surfing,M,43,Unprovoked,tiger shark,N
303,Surfing,M,25,Unprovoked,white shark,N
304,Swimming,F,51,Unprovoked,tiger shark,N
305,Surfing,M,39,Unprovoked,white shark,Y
306,boarding,M,55,Unprovoked,unknown,N
307,boarding,M,11,Unprovoked,unknown,N
308,Surfing,M,21,Unprovoked,unknown,N
309,Surfing,M,22,Unprovoked,unknown,N
310,Swimming,F,29,Unprovoked,bull shark,N
311,boarding,F,8,Unprovoked,unknown,N
312,Swimming,F,56,Unprovoked,unknown,N
313,Fishing,M,53,Provoked,unknown,N
314,Other,M,56,Unprovoked,Other,N
315,Surfing,M,39,Unprovoked,bull shark,N
316,Surfing,M,48,Unprovoked,white shark,N
317,Surfing,M,50,Unprovoked,unknown,N
318,Surfing,M,24,Unprovoked,white shark,Y
319,Other,M,52,Boating,unknown,N
320,Surfing,M,29,Unprovoked,unknown,N
321,Swimming,M,6,Unprovoked,bull shark,N
322,Other,F,16,Unprovoked,Other,N
323,Other,M,62,Unprovoked,unknown,N
324,Fishing,M,23,Provoked,nurse shark,N
325,Swimming,F,18,Unprovoked,blacktip shark,N
326,Swimming,M,16,Unprovoked,blacktip shark,N
327,Surfing,M,42,Unprovoked,unknown,N
328,Other,M,30,Unprovoked,white shark,N
329,Wading,F,33,Unprovoked,unknown,N
330,Spearfishing,M,46,Unprovoked,bull shark,N
331,Surfing,M,22,Unprovoked,unknown,N
332,Fishing,M,30,Boating,white shark,N
333,boarding,F,15,Unprovoked,white shark,N
334,Surfing,M,28,Unprovoked,unknown,N
