Activity,Sex,Age,Type,Species,Fatal
Other,M,9,Unprovoked,unknown,N
Surfing,M,21,Unprovoked,bull shark,N
boarding,M,53,Unprovoked,Other,N
Surfing,M,58,Unprovoked,unknown,N
Fishing,M,30,Provoked,raggedoth shark,N
Spearfishing,M,68,Unprovoked,tiger shark,Y
Spearfishing,M,28,Unprovoked,bronze whaler,N
Swimming,M,46,Unprovoked,white shark,Y
Surfing,M,16,Unprovoked,blacktip shark,N
Scuba diving,M,48,Unprovoked,Other,N
Surfing,M,43,Unprovoked,tiger shark,N
Surfing,M,23,Unprovoked,unknown,N
boarding,M,29,Unprovoked,bull shark,N
Swimming,M,20,Unprovoked,tiger shark,Y
Surfing,M,32,Unprovoked,tiger shark,N
Surfing,M,60,Unprovoked,unknown,N
Spearfishing,M,31,Unprovoked,tiger shark,N
Scuba diving,F,25,Unprovoked,Other,N
Snorkeling,M,61,Unprovoked,tiger shark,N
Swimming,M,32,Unprovoked,unknown,Y
Surfing,M,14,Unprovoked,unknown,N
Other,M,30,Unprovoked,tiger shark,N
Surfing,M,43,Unprovoked,tiger shark,N
Surfing,M,25,Unprovoked,white shark,N
Swimming,F,51,Unprovoked,tiger shark,N
Surfing,M,39,Unprovoked,white shark,Y
boarding,M,55,Unprovoked,unknown,N
boarding,M,11,Unprovoked,unknown,N
Surfing,M,21,Unprovoked,unknown,N
Surfing,M,22,Unprovoked,unknown,N
Swimming,F,29,Unprovoked,bull shark,N
boarding,F,8,Unprovoked,unknown,N
Swimming,F,56,Unprovoked,unknown,N
Fishing,M,53,Provoked,unknown,N
Other,M,56,Unprovoked,Other,N
Surfing,M,39,Unprovoked,bull shark,N
Surfing,M,48,Unprovoked,white shark,N
Surfing,M,50,Unprovoked,unknown,N
Surfing,M,24,Unprovoked,white shark,Y
Other,M,52,Boating,unknown,N
Surfing,M,29,Unprovoked,unknown,N
Swimming,M,6,Unprovoked,bull shark,N
Other,F,16,Unprovoked,Other,N
Other,M,62,Unprovoked,unknown,N
Fishing,M,23,Provoked,nurse shark,N
Swimming,F,18,Unprovoked,blacktip shark,N
Swimming,M,16,Unprovoked,blacktip shark,N
Surfing,M,42,Unprovoked,unknown,N
Other,M,30,Unprovoked,white shark,N
Wading,F,33,Unprovoked,unknown,N
Spearfishing,M,46,Unprovoked,bull shark,N
Surfing,M,22,Unprovoked,unknown,N
Fishing,M,30,Boating,white shark,N
boarding,F,15,Unprovoked,white shark,N
Surfing,M,28,Unprovoked,unknown,N
boarding,M,20,Unprovoked,white shark,Y
Other,M,27,Boating,white shark,N
Surfing,M,28,Unprovoked,tiger shark,N
Scuba diving,M,33,Unprovoked,white shark,Y
Surfing,M,20,Unprovoked,bull shark,N
Surfing,M,61,Unprovoked,bull shark,N
Surfing,F,15,Unprovoked,unknown,N
Surfing,M,17,Unprovoked,unknown,N
Other,F,34,Provoked,Other,N
Surfing,M,19,Unprovoked,unknown,N
Snorkeling,M,26,Unprovoked,tiger shark,N
Fishing,M,24,Provoked,Other,N
Surfing,M,44,Unprovoked,white shark,N
Swimming,M,25,Unprovoked,unknown,Y
Surfing,M,53,Unprovoked,white shark,N
Surfing,M,28,Unprovoked,unknown,N
Spearfishing,M,34,Unprovoked,Other,N
Surfing,M,51,Unprovoked,white shark,N
Surfing,M,14,Unprovoked,wobbegong shark,N
Swimming,M,10,Unprovoked,wobbegong shark,N
Surfing,M,27,Unprovoked,white shark,N
Surfing,M,26,Unprovoked,unknown,N
Other,M,32,Unprovoked,white shark,Y
Surfing,M,41,Unprovoked,white shark,N
Other,M,50,Unprovoked,unknown,N
Other,M,51,Boating,unknown,N
Swimming,M,43,Unprovoked,white shark,N
Spearfishing,M,21,Unprovoked,bull shark,N
Surfing,M,25,Unprovoked,unknown,N
Surfing,M,30,Unprovoked,tiger shark,N
boarding,M,21,Unprovoked,white shark,Y
Surfing,M,19,Unprovoked,blacktip shark,N
